fly_id,bin_start,genotype,sex,treatment,MT_sum,Pn_var,bin_index,state,state_label
M13_09_25_25_Ch27,2025-09-27 11:10:00,SSS,Male,VEH,0.0,0.0,314,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:15:00,SSS,Male,VEH,0.0,0.0,315,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:20:00,SSS,Male,VEH,0.0,0.0,316,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:25:00,SSS,Male,VEH,0.0,0.0,317,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:30:00,SSS,Male,VEH,0.0,0.0,318,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:35:00,SSS,Male,VEH,0.0,0.0,319,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:40:00,SSS,Male,VEH,0.0,0.0,320,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:45:00,SSS,Male,VEH,0.0,0.0,321,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:50:00,SSS,Male,VEH,0.0,0.0,322,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:55:00,SSS,Male,VEH,0.0,0.0,323,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:00:00,SSS,Male,VEH,0.0,0.0,324,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:05:00,SSS,Male,VEH,0.0,0.0,325,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:10:00,SSS,Male,VEH,0.0,0.0,326,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:15:00,SSS,Male,VEH,0.0,0.0,327,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:20:00,SSS,Male,VEH,0.0,0.0,328,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:25:00,SSS,Male,VEH,0.0,0.0,329,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:30:00,SSS,Male,VEH,0.0,0.0,330,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:35:00,SSS,Male,VEH,0.0,0.0,331,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:40:00,SSS,Male,VEH,0.0,0.0,332,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:45:00,SSS,Male,VEH,0.0,0.0,333,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:50:00,SSS,Male,VEH,0.0,0.0,334,0,Healthy
M13_09_25_25_Ch27,2025-09-27 12:55:00,SSS,Male,VEH,0.0,0.0,335,0,Healthy
M13_09_25_25_Ch27,2025-09-27 13:00:00,SSS,Male,VEH,0.0,0.0,336,0,Healthy
